LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1734687900.383206,203879.000,31341,3,AY,1,100,-0.372
1734687900.383206,203879.000,31341,3,AY,1,100,-0.365
1734687900.383206,203879.000,31341,3,AY,1,100,-0.362
1734687900.423206,203919.000,31356,3,AY,1,100,-0.373
1734687900.463205,203959.000,31356,3,AY,1,100,-0.382
1734687900.503205,203999.000,31356,3,AY,1,100,-0.365
1734687900.543205,204039.000,31372,2,AY,1,100,-0.366
1734687900.583205,204079.000,31372,2,AY,1,100,-0.380
1734687900.623204,204119.000,31390,3,AY,1,100,-0.365
1734687900.663204,204159.000,31390,3,AY,1,100,-0.365
1734687900.703204,204199.000,31390,3,AY,1,100,-0.378
1734687900.743203,204239.000,31406,2,AY,1,100,-0.370
1734687900.783203,204279.000,31406,2,AY,1,100,-0.363
1734687900.823203,204319.000,31423,3,AY,1,100,-0.359
1734687900.863203,204359.000,31423,3,AY,1,100,-0.350
1734687900.903202,204399.000,31423,3,AY,1,100,-0.348
1734687900.943202,204439.000,31440,2,AY,1,100,-0.350
1734687900.983202,204479.000,31440,2,AY,1,100,-0.379
1734687901.023202,204519.000,31457,3,AY,1,100,-0.367
1734687901.063201,204559.000,31457,3,AY,1,100,-0.346
1734687901.103201,204599.000,31457,3,AY,1,100,-0.364
1734687901.138867,204634.667,31473,3,AY,1,100,-0.379
1734687901.174534,204670.333,31473,3,AY,1,100,-0.390
1734687901.210200,204706.000,31473,3,AY,1,100,-0.393
1734687901.250200,204746.000,31488,2,AY,1,100,-0.398
1734687901.290200,204786.000,31488,2,AY,1,100,-0.367
1734687901.330199,204826.000,31505,3,AY,1,100,-0.351
1734687901.370199,204866.000,31505,3,AY,1,100,-0.365
1734687901.410199,204906.000,31505,3,AY,1,100,-0.360
1734687901.450199,204946.000,31524,2,AY,1,100,-0.375
1734687901.490199,204986.000,31524,2,AY,1,100,-0.371
1734687901.530198,205026.000,31540,3,AY,1,100,-0.353
1734687901.570198,205066.000,31540,3,AY,1,100,-0.362
1734687901.610198,205106.000,31540,3,AY,1,100,-0.369
1734687901.650198,205146.000,31557,2,AY,1,100,-0.367
1734687901.690197,205186.000,31557,2,AY,1,100,-0.385
1734687901.730197,205226.000,31572,3,AY,1,100,-0.394
1734687901.770197,205266.000,31572,3,AY,1,100,-0.386
1734687901.810196,205306.000,31572,3,AY,1,100,-0.357
1734687901.850196,205346.000,31589,3,AY,1,100,-0.352
1734687901.890196,205386.000,31589,3,AY,1,100,-0.347
1734687901.930196,205426.000,31589,3,AY,1,100,-0.386
