LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RB
1735118209.108891,742827.000,52883,1,RB,1,100,2024-12-25_16-16-48-613041
1735118209.555891,743274.000,52917,1,RB,1,100,2024-12-25_16-16-48-747040
