LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1735118209.400891,743119.000,52896,8,AZ,1,100,0.075
1735118209.400891,743119.000,52896,8,AZ,1,100,0.077
1735118209.400891,743119.000,52896,8,AZ,1,100,0.083
1735118209.400891,743119.000,52896,8,AZ,1,100,0.079
1735118209.400891,743119.000,52896,8,AZ,1,100,0.078
1735118209.400891,743119.000,52896,8,AZ,1,100,0.071
1735118209.400891,743119.000,52896,8,AZ,1,100,0.082
1735118209.400891,743119.000,52896,8,AZ,1,100,0.076
1735118209.440891,743159.000,52910,3,AZ,1,100,0.071
1735118209.480891,743199.000,52910,3,AZ,1,100,0.068
1735118209.520891,743239.000,52910,3,AZ,1,100,0.076
1735118209.560891,743279.000,52928,1,AZ,1,100,0.087
1735118209.600891,743319.000,52944,2,AZ,1,100,0.080
1735118209.640891,743359.000,52944,2,AZ,1,100,0.066
1735118209.680891,743399.000,52960,3,AZ,1,100,0.072
1735118209.720891,743439.000,52960,3,AZ,1,100,0.082
1735118209.760891,743479.000,52960,3,AZ,1,100,0.077
1735118209.800891,743519.000,52976,2,AZ,1,100,0.082
1735118209.840891,743559.000,52976,2,AZ,1,100,0.069
1735118209.876558,743594.667,52994,3,AZ,1,100,0.069
1735118209.912224,743630.333,52994,3,AZ,1,100,0.091
1735118209.947891,743666.000,52994,3,AZ,1,100,0.089
1735118209.987891,743706.000,53012,3,AZ,1,100,0.067
1735118210.027891,743746.000,53012,3,AZ,1,100,0.083
1735118210.067891,743786.000,53012,3,AZ,1,100,0.090
1735118210.107891,743826.000,53027,2,AZ,1,100,0.077
1735118210.147891,743866.000,53027,2,AZ,1,100,0.070
1735118210.187891,743906.000,53044,3,AZ,1,100,0.083
1735118210.227891,743946.000,53044,3,AZ,1,100,0.085
1735118210.267891,743986.000,53044,3,AZ,1,100,0.072
1735118210.307891,744026.000,53066,3,AZ,1,100,0.074
1735118210.347891,744066.000,53066,3,AZ,1,100,0.077
1735118210.387891,744106.000,53066,3,AZ,1,100,0.065
1735118210.427891,744146.000,53082,3,AZ,1,100,0.072
1735118210.467891,744186.000,53082,3,AZ,1,100,0.080
1735118210.507891,744226.000,53082,3,AZ,1,100,0.097
1735118210.547891,744266.000,53100,2,AZ,1,100,0.078
1735118210.587891,744306.000,53100,2,AZ,1,100,0.064
1735118210.627891,744346.000,53114,3,AZ,1,100,0.069
1735118210.667891,744386.000,53114,3,AZ,1,100,0.083
1735118210.707891,744426.000,53114,3,AZ,1,100,0.084
1735118210.747891,744466.000,53131,2,AZ,1,100,0.071
1735118210.787891,744506.000,53131,2,AZ,1,100,0.061
1735118210.827558,744545.667,53149,3,AZ,1,100,0.078
1735118210.867224,744585.333,53149,3,AZ,1,100,0.080
1735118210.906891,744625.000,53149,3,AZ,1,100,0.072
1735118210.946891,744665.000,53167,2,AZ,1,100,0.064
1735118210.986891,744705.000,53167,2,AZ,1,100,0.075
1735118211.026891,744745.000,53181,3,AZ,1,100,0.077
1735118211.066891,744785.000,53181,3,AZ,1,100,0.076
1735118211.106891,744825.000,53181,3,AZ,1,100,0.070
1735118211.142558,744860.667,53198,3,AZ,1,100,0.067
1735118211.178225,744896.333,53198,3,AZ,1,100,0.069
1735118211.213891,744932.000,53198,3,AZ,1,100,0.067
1735118211.253891,744972.000,53215,2,AZ,1,100,0.074
1735118211.293891,745012.000,53215,2,AZ,1,100,0.077
1735118211.333891,745052.000,53232,3,AZ,1,100,0.068
1735118211.373891,745092.000,53232,3,AZ,1,100,0.070
