LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1735118209.400891,743119.000,52901,8,MY,1,100, 6
1735118209.400891,743119.000,52901,8,MY,1,100, 7
1735118209.400891,743119.000,52901,8,MY,1,100, 7
1735118209.400891,743119.000,52901,8,MY,1,100, 8
1735118209.400891,743119.000,52901,8,MY,1,100, 7
1735118209.400891,743119.000,52901,8,MY,1,100, 8
1735118209.400891,743119.000,52901,8,MY,1,100, 9
1735118209.400891,743119.000,52901,8,MY,1,100, 7
1735118209.440891,743159.000,52915,3,MY,1,100, 8
1735118209.480891,743199.000,52915,3,MY,1,100, 8
1735118209.520891,743239.000,52915,3,MY,1,100, 7
1735118209.560891,743279.000,52933,1,MY,1,100, 6
1735118209.600891,743319.000,52949,2,MY,1,100, 7
1735118209.640891,743359.000,52949,2,MY,1,100, 7
1735118209.680891,743399.000,52965,3,MY,1,100, 8
1735118209.720891,743439.000,52965,3,MY,1,100, 7
1735118209.760891,743479.000,52965,3,MY,1,100, 7
1735118209.800891,743519.000,52981,2,MY,1,100, 7
1735118209.840891,743559.000,52981,2,MY,1,100, 7
1735118209.876558,743594.667,52999,3,MY,1,100, 7
1735118209.912224,743630.333,52999,3,MY,1,100, 7
1735118209.947891,743666.000,52999,3,MY,1,100, 7
1735118209.987891,743706.000,53017,3,MY,1,100, 7
1735118210.027891,743746.000,53017,3,MY,1,100, 7
1735118210.067891,743786.000,53017,3,MY,1,100, 9
1735118210.107891,743826.000,53032,2,MY,1,100, 7
1735118210.147891,743866.000,53032,2,MY,1,100, 8
1735118210.187891,743906.000,53049,3,MY,1,100, 7
1735118210.227891,743946.000,53049,3,MY,1,100, 7
1735118210.267891,743986.000,53049,3,MY,1,100, 7
1735118210.307891,744026.000,53071,3,MY,1,100, 7
1735118210.347891,744066.000,53071,3,MY,1,100, 7
1735118210.387891,744106.000,53071,3,MY,1,100, 6
1735118210.427891,744146.000,53087,3,MY,1,100, 7
1735118210.467891,744186.000,53087,3,MY,1,100, 7
1735118210.507891,744226.000,53087,3,MY,1,100, 7
1735118210.547891,744266.000,53105,2,MY,1,100, 7
1735118210.587891,744306.000,53105,2,MY,1,100, 7
