LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1734243241.896722,200779.000,30633,3,MY,1,100, 5
1734243241.896722,200779.000,30633,3,MY,1,100, 5
1734243241.896722,200779.000,30633,3,MY,1,100, 5
1734243241.937056,200819.333,30651,3,MY,1,100, 6
1734243241.977390,200859.667,30651,3,MY,1,100, 5
1734243242.017724,200900.000,30651,3,MY,1,100, 8
1734243242.057724,200940.000,30669,2,MY,1,100, 5
1734243242.097725,200980.000,30669,2,MY,1,100, 6
1734243242.137725,201020.000,30686,3,MY,1,100, 7
1734243242.177726,201060.000,30686,3,MY,1,100, 4
1734243242.217726,201100.000,30686,3,MY,1,100, 5
1734243242.257726,201140.000,30700,3,MY,1,100, 6
1734243242.297727,201180.000,30700,3,MY,1,100, 7
1734243242.337728,201220.000,30700,3,MY,1,100, 5
1734243242.373394,201255.667,30718,3,MY,1,100, 5
1734243242.409062,201291.333,30718,3,MY,1,100, 5
1734243242.444729,201327.000,30718,3,MY,1,100, 6
1734243242.484729,201367.000,30734,2,MY,1,100, 5
1734243242.524729,201407.000,30734,2,MY,1,100, 5
1734243242.564730,201447.000,30758,3,MY,1,100, 7
1734243242.604731,201487.000,30758,3,MY,1,100, 5
1734243242.644731,201527.000,30758,3,MY,1,100, 5
1734243242.684731,201567.000,30775,2,MY,1,100, 5
1734243242.724732,201607.000,30775,2,MY,1,100, 4
1734243242.764732,201647.000,30790,3,MY,1,100, 5
1734243242.804733,201687.000,30790,3,MY,1,100, 5
1734243242.844733,201727.000,30790,3,MY,1,100, 5
1734243242.884734,201767.000,30806,2,MY,1,100, 4
1734243242.924734,201807.000,30806,2,MY,1,100, 5
1734243242.964735,201847.000,30824,3,MY,1,100, 7
1734243243.004735,201887.000,30824,3,MY,1,100, 5
1734243243.044736,201927.000,30824,3,MY,1,100, 6
1734243243.084736,201967.000,30840,2,MY,1,100, 5
1734243243.124737,202007.000,30840,2,MY,1,100, 5
1734243243.164737,202047.000,30855,3,MY,1,100, 5
1734243243.204737,202087.000,30855,3,MY,1,100, 2
1734243243.244738,202127.000,30855,3,MY,1,100, 5
1734243243.284738,202167.000,30874,3,MY,1,100, 5
1734243243.324739,202207.000,30874,3,MY,1,100, 5
1734243243.364739,202247.000,30874,3,MY,1,100, 5
1734243243.404740,202287.000,30891,2,MY,1,100, 4
1734243243.444740,202327.000,30891,2,MY,1,100, 5
1734243243.484741,202367.000,30907,3,MY,1,100, 6
1734243243.524741,202407.000,30907,3,MY,1,100, 5
1734243243.564742,202447.000,30907,3,MY,1,100, 5
1734243243.604742,202487.000,30922,2,MY,1,100, 6
1734243243.644742,202527.000,30922,2,MY,1,100, 5
1734243243.680076,202562.333,30939,3,MY,1,100, 5
1734243243.715410,202597.667,30939,3,MY,1,100, 5
1734243243.750744,202633.000,30939,3,MY,1,100, 5
1734243243.790744,202673.000,30956,3,MY,1,100, 4
1734243243.830745,202713.000,30956,3,MY,1,100, 4
1734243243.870745,202753.000,30956,3,MY,1,100, 4
1734243243.910746,202793.000,30974,2,MY,1,100, 5
1734243243.950746,202833.000,30974,2,MY,1,100, 6
1734243243.990746,202873.000,30990,3,MY,1,100, 5
1734243244.030747,202913.000,30990,3,MY,1,100, 5
1734243244.070747,202953.000,30990,3,MY,1,100, 5
1734243244.110748,202993.000,31006,2,MY,1,100, 4
1734243244.150748,203033.000,31006,2,MY,1,100, 4
1734243244.190749,203073.000,31023,3,MY,1,100, 5
1734243244.230749,203113.000,31023,3,MY,1,100, 5
1734243244.270750,203153.000,31023,3,MY,1,100, 6
1734243244.310750,203193.000,31040,2,MY,1,100, 5
1734243244.350751,203233.000,31040,2,MY,1,100, 5
1734243244.390751,203273.000,31058,3,MY,1,100, 5
1734243244.430752,203313.000,31058,3,MY,1,100, 5
1734243244.470752,203353.000,31058,3,MY,1,100, 5
