LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1734686318.920598,595352.000,29721,1,AX,1,100,0.944
1734686318.960600,595392.000,29742,4,AX,1,100,0.936
1734686319.000601,595432.000,29742,4,AX,1,100,0.944
1734686319.040603,595472.000,29742,4,AX,1,100,0.942
1734686319.080604,595512.000,29742,4,AX,1,100,0.940
1734686319.120606,595552.000,29760,2,AX,1,100,0.938
1734686319.160607,595592.000,29760,2,AX,1,100,0.943
1734686319.195942,595627.333,29776,3,AX,1,100,0.938
1734686319.231277,595662.667,29776,3,AX,1,100,0.941
1734686319.266611,595698.000,29776,3,AX,1,100,0.944
1734686319.306613,595738.000,29791,2,AX,1,100,0.940
1734686319.346614,595778.000,29791,2,AX,1,100,0.940
1734686319.386616,595818.000,29808,3,AX,1,100,0.930
1734686319.426617,595858.000,29808,3,AX,1,100,0.950
1734686319.466619,595898.000,29808,3,AX,1,100,0.943
1734686319.506620,595938.000,29825,3,AX,1,100,0.943
1734686319.546622,595978.000,29825,3,AX,1,100,0.966
1734686319.586623,596018.000,29825,3,AX,1,100,0.925
1734686319.626625,596058.000,29841,2,AX,1,100,0.944
1734686319.666626,596098.000,29841,2,AX,1,100,0.929
1734686319.706628,596138.000,29856,3,AX,1,100,0.938
1734686319.746629,596178.000,29856,3,AX,1,100,0.944
1734686319.786631,596218.000,29856,3,AX,1,100,0.942
1734686319.826632,596258.000,29873,2,AX,1,100,0.941
1734686319.866634,596298.000,29873,2,AX,1,100,0.942
1734686319.906635,596338.000,29890,3,AX,1,100,0.939
1734686319.946637,596378.000,29890,3,AX,1,100,0.939
1734686319.986638,596418.000,29890,3,AX,1,100,0.935
1734686320.026640,596458.000,29906,2,AX,1,100,0.940
1734686320.066641,596498.000,29906,2,AX,1,100,0.951
1734686320.106643,596538.000,29923,3,AX,1,100,0.936
1734686320.146644,596578.000,29923,3,AX,1,100,0.937
1734686320.186646,596618.000,29923,3,AX,1,100,0.938
1734686320.226647,596658.000,29942,2,AX,1,100,0.946
1734686320.266649,596698.000,29942,2,AX,1,100,0.984
1734686320.306650,596738.000,29959,3,AX,1,100,0.858
1734686320.346652,596778.000,29959,3,AX,1,100,1.047
1734686320.386653,596818.000,29959,3,AX,1,100,0.907
1734686320.422321,596853.667,29976,3,AX,1,100,0.927
1734686320.457989,596889.333,29976,3,AX,1,100,0.956
1734686320.493657,596925.000,29976,3,AX,1,100,0.940
1734686320.533659,596965.000,29993,2,AX,1,100,0.945
1734686320.573660,597005.000,29993,2,AX,1,100,0.938
1734686320.613662,597045.000,30007,3,AX,1,100,0.951
1734686320.653663,597085.000,30007,3,AX,1,100,0.940
1734686320.693665,597125.000,30007,3,AX,1,100,0.947
1734686320.734166,597165.500,30025,2,AX,1,100,0.943
1734686320.774668,597206.000,30025,2,AX,1,100,0.931
1734686320.814336,597245.667,30043,3,AX,1,100,0.946
1734686320.854004,597285.333,30043,3,AX,1,100,0.941
1734686320.893672,597325.000,30043,3,AX,1,100,0.950
1734686320.933674,597365.000,30060,2,AX,1,100,0.947
1734686320.973675,597405.000,30060,2,AX,1,100,0.942
1734686321.013677,597445.000,30074,3,AX,1,100,0.942
1734686321.053678,597485.000,30074,3,AX,1,100,0.945
1734686321.093680,597525.000,30074,3,AX,1,100,0.947
1734686321.133681,597565.000,30092,3,AX,1,100,0.944
