595358,29714,1,RB,1,100,2024-12-20_16-18-38-578633
595360,29715,4,EM,1,100,RS,RB,2024-12-20_16-18-38-578633.csv,PS,MN
595352,29716,1,PI,1,100,157476
595352,29717,1,PR,1,100,140770
595352,29718,1,PG,1,100,8401
595364,29719,1,EA,1,100,3.762383
595364,29720,1,EL,1,100,-19238.199219
595352,29721,1,AX,1,100,0.944
595352,29722,1,AY,1,100,-0.019
595352,29723,1,AZ,1,100,0.214
595352,29724,1,GX,1,100,0.061
595352,29725,1,GY,1,100,0.275
595352,29726,1,GZ,1,100,-0.153
595352,29727,1,MX,1,100,-21
595352,29728,1,MY,1,100,-18
595352,29729,1,MZ,1,100, 1
595414,29730,1,TL,1,100,2024-12-20_16-18-33-945496
595415,29731,2,AK,1,100,28899,RD
595416,29732,2,RD,1,100,TL,TU
595507,29733,1,TL,1,100,2024-12-20_16-18-39-047125
595509,29734,2,AK,1,100,29732,RD
595512,29735,4,PI,1,100,157480,157505,157459,157449
595512,29736,4,PR,1,100,140781,140779,140768,140779
595512,29737,4,PG,1,100,8389,8391,8391,8392
595497,29738,2,EA,1,100,3.764424,3.764424
595497,29739,2,EL,1,100,-19238.400391,-19238.400391
595424,29740,1,T1,1,100,35.053
595439,29741,1,TH,1,100,32.889
595512,29742,4,AX,1,100,0.936,0.944,0.942,0.940
595512,29743,4,AY,1,100,-0.013,-0.025,-0.023,-0.014
595512,29744,4,AZ,1,100,0.213,0.212,0.215,0.217
595512,29745,4,GX,1,100,0.244,0.214,-0.305,-0.122
595512,29746,4,GY,1,100,0.031,-0.580,-0.977,-0.336
595512,29747,4,GZ,1,100,-0.244,0.122,0.641,-0.275
595512,29748,4,MX,1,100,-21,-21,-20,-22
595512,29749,4,MY,1,100,-17,-18,-16,-18
595512,29750,4,MZ,1,100, 2, 1, 3, 0
595562,29751,4,EM,1,100,RS,RB,2024-12-20_16-18-38-578633.csv,PS,MN
595564,29752,1,SF,1,100,1.3044
595592,29753,2,PI,1,100,157471,157501
595592,29754,2,PR,1,100,140787,140793
595592,29755,2,PG,1,100,8376,8381
595564,29756,1,EA,1,100,3.766447
595564,29757,1,EL,1,100,-19238.599609
595558,29758,1,T1,1,100,35.094
595572,29759,1,TH,1,100,32.962
595592,29760,2,AX,1,100,0.938,0.943
595592,29761,2,AY,1,100,-0.020,-0.023
595592,29762,2,AZ,1,100,0.212,0.209
595592,29763,2,GX,1,100,-0.031,-0.031
595592,29764,2,GY,1,100,-1.007,-1.709
595592,29765,2,GZ,1,100,-0.336,0.122
595592,29766,2,MX,1,100,-20,-21
595592,29767,2,MY,1,100,-17,-18
595592,29768,2,MZ,1,100, 1, 2
595712,29769,3,PI,1,100,157508,157536,157556
595712,29770,3,PR,1,100,140803,140811,140822
595712,29771,3,PG,1,100,8368,8373,8382
595698,29772,2,EA,1,100,3.768493,3.770521
595698,29773,2,EL,1,100,-19238.800781,-19239.000000
595691,29774,1,T1,1,100,35.147
595705,29775,1,TH,1,100,32.969
595698,29776,3,AX,1,100,0.938,0.941,0.944
595698,29777,3,AY,1,100,-0.014,-0.024,-0.020
595698,29778,3,AZ,1,100,0.212,0.208,0.202
595698,29779,3,GX,1,100,-0.031,-0.061,-0.031
595698,29780,3,GY,1,100,-0.458,-0.519,-1.038
595698,29781,3,GZ,1,100,-0.183,0.153,0.702
595698,29782,3,MX,1,100,-20,-21,-21
595698,29783,3,MY,1,100,-18,-18,-18
595698,29784,3,MZ,1,100, 1, 1, 1
595766,29785,4,EM,1,100,RS,RB,2024-12-20_16-18-38-578633.csv,PS,MN
595792,29786,2,PI,1,100,157545,157567
595792,29787,2,PR,1,100,140831,140821
595792,29788,2,PG,1,100,8402,8400
595764,29789,1,EA,1,100,3.770521
595764,29790,1,EL,1,100,-19239.000000
595778,29791,2,AX,1,100,0.940,0.940
595778,29792,2,AY,1,100,-0.005,-0.021
595778,29793,2,AZ,1,100,0.198,0.219
595778,29794,2,GX,1,100,-0.183,-1.251
595778,29795,2,GY,1,100,0.061,2.441
595778,29796,2,GZ,1,100,0.732,1.801
595778,29797,2,MX,1,100,-21,-21
595778,29798,2,MY,1,100,-18,-18
595778,29799,2,MZ,1,100, 1, 2
595897,29800,1,SF,1,100,1.2893
595912,29801,3,PI,1,100,157583,157615,157626
595912,29802,3,PR,1,100,140831,140831,140851
595912,29803,3,PG,1,100,8403,8402,8396
595897,29804,2,EA,1,100,3.770521,3.772552
595897,29805,2,EL,1,100,-19239.000000,-19239.199219
595824,29806,1,T1,1,100,34.993
595839,29807,1,TH,1,100,32.919
595898,29808,3,AX,1,100,0.930,0.950,0.943
595898,29809,3,AY,1,100,-0.009,-0.035,-0.039
