LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1735218293.954458,246078.000,37884,1,TL,1,100,2024-12-26_20-04-48-999794
1735218293.975458,246099.000,37887,1,TL,1,100,2024-12-26_20-04-53-969010
1735218299.062502,251186.000,38723,1,TL,1,100,2024-12-26_20-04-54-095053
1735218304.170547,256294.000,39558,1,TL,1,100,2024-12-26_20-04-59-108742
1735218304.172546,256296.000,39560,1,TL,1,100,2024-12-26_20-04-59-204054
1735218304.236547,256360.000,39563,1,TL,1,100,2024-12-26_20-05-04-193050
1735218309.287591,261411.000,40400,1,TL,1,100,2024-12-26_20-05-04-332571
1735218314.399635,266523.000,41234,1,TL,1,100,2024-12-26_20-05-09-352960
1735218314.401635,266525.000,41236,1,TL,1,100,2024-12-26_20-05-09-476325
1735218314.437635,266561.000,41239,1,TL,1,100,2024-12-26_20-05-14-428307
1735218319.519679,271643.000,42072,1,TL,1,100,2024-12-26_20-05-14-565559
1735218319.578679,271702.000,42075,1,TL,1,100,2024-12-26_20-05-19-557690
1735218324.629723,276753.000,42878,1,TL,1,100,2024-12-26_20-05-19-682880
1735218324.648723,276772.000,42881,1,TL,1,100,2024-12-26_20-05-24-640223
1735218329.737767,281861.000,43699,1,TL,1,100,2024-12-26_20-05-24-779739
1735218329.763767,281887.000,43702,1,TL,1,100,2024-12-26_20-05-29-756690
1735218334.845811,286969.000,44528,1,TL,1,100,2024-12-26_20-05-29-880734
1735218339.992856,292116.000,45319,1,TL,1,100,2024-12-26_20-05-34-919925
1735218339.994856,292118.000,45321,1,TL,1,100,2024-12-26_20-05-35-061890
1735218345.108900,297232.000,46154,1,TL,1,100,2024-12-26_20-05-40-159214
1735218345.111900,297235.000,46156,1,TL,1,100,2024-12-26_20-05-40-236071
1735218345.182900,297306.000,46159,1,TL,1,100,2024-12-26_20-05-45-155565
1735218350.222944,302346.000,46990,1,TL,1,100,2024-12-26_20-05-45-249740
1735218355.354988,307478.000,47826,1,TL,1,100,2024-12-26_20-05-50-273014
1735218355.356988,307480.000,47828,1,TL,1,100,2024-12-26_20-05-50-412980
1735218360.462032,312585.000,48636,1,TL,1,100,2024-12-26_20-05-55-393388
1735218360.467032,312590.000,48638,1,TL,1,100,2024-12-26_20-05-55-503365
1735218360.490032,312613.000,48641,1,TL,1,100,2024-12-26_20-06-00-482653
1735218365.573076,317696.000,49462,1,TL,1,100,2024-12-26_20-06-00-606710
1735218365.600076,317723.000,49465,1,TL,1,100,2024-12-26_20-06-05-591138
1735218370.681120,322804.000,50281,1,TL,1,100,2024-12-26_20-06-05-717489
1735218375.789164,327912.000,51069,1,TL,1,100,2024-12-26_20-06-11-032577
1735218375.794164,327917.000,51071,1,TL,1,100,2024-12-26_20-06-11-047895
1735218380.905209,333028.000,51907,1,TL,1,100,2024-12-26_20-06-16-015873
1735218380.908209,333031.000,51909,1,TL,1,100,2024-12-26_20-06-16-125553
1735218381.018209,333141.000,51912,1,TL,1,100,2024-12-26_20-06-20-951013
1735218386.028253,338151.000,52744,1,TL,1,100,2024-12-26_20-06-21-060156
1735218391.152297,343275.000,53581,1,TL,1,100,2024-12-26_20-06-26-286949
1735218391.157297,343280.000,53583,1,TL,1,100,2024-12-26_20-06-26-318339
1735218396.260341,348383.000,54401,1,TL,1,100,2024-12-26_20-06-31-211441
1735218396.265341,348388.000,54403,1,TL,1,100,2024-12-26_20-06-31-317258
1735218401.398385,353521.000,55238,1,TL,1,100,2024-12-26_20-06-36-495005
1735218406.517430,358640.000,56076,1,TL,1,100,2024-12-26_20-06-41-449496
1735218406.520430,358643.000,56078,1,TL,1,100,2024-12-26_20-06-41-744923
1735218411.645474,363768.000,56915,1,TL,1,100,2024-12-26_20-06-46-575015
1735218411.650474,363773.000,56917,1,TL,1,100,2024-12-26_20-06-46-730278
1735218411.716475,363839.000,56920,1,TL,1,100,2024-12-26_20-06-51-699166
1735218416.787518,368910.000,57760,1,TL,1,100,2024-12-26_20-06-51-791486
1735218421.920563,374043.000,58598,1,TL,1,100,2024-12-26_20-06-56-827568
1735218421.923563,374046.000,58600,1,TL,1,100,2024-12-26_20-06-56-998458
1735218427.027606,379150.000,59423,1,TL,1,100,2024-12-26_20-07-02-183726
1735218427.061607,379184.000,59426,1,TL,1,100,2024-12-26_20-07-07-051779
1735218432.137651,384260.000,60258,1,TL,1,100,2024-12-26_20-07-07-177613
1735218437.255695,389378.000,61096,1,TL,1,100,2024-12-26_20-07-12-168617
1735218437.260695,389383.000,61098,1,TL,1,100,2024-12-26_20-07-12-276104
1735218437.314695,389437.000,61101,1,TL,1,100,2024-12-26_20-07-17-268913
1735218442.389739,394512.000,61935,1,TL,1,100,2024-12-26_20-07-17-393345
1735218447.509783,399632.000,62771,1,TL,1,100,2024-12-26_20-07-22-438496
1735218447.514783,399637.000,62773,1,TL,1,100,2024-12-26_20-07-22-530877
1735218447.584784,399707.000,62776,1,TL,1,100,2024-12-26_20-07-27-556728
1735218452.637828,404760.000,63612,1,TL,1,100,2024-12-26_20-07-27-696160
1735218457.747872,409870.000,64445,1,TL,1,100,2024-12-26_20-07-32-760592
1735218457.753872,409876.000,64447,1,TL,1,100,2024-12-26_20-07-32-884851
1735218462.859916,414982.000,65264,1,TL,1,100,2024-12-26_20-07-37-831151
1735218462.866916,414989.000,65266,1,TL,1,100,2024-12-26_20-07-37-893564
1735218467.987960,420110.000,564,1,TL,1,100,2024-12-26_20-07-42-921438
1735218467.992960,420115.000,566,1,TL,1,100,2024-12-26_20-07-43-075062
1735218473.106004,425228.000,1403,1,TL,1,100,2024-12-26_20-07-48-087453
1735218473.111004,425233.000,1405,1,TL,1,100,2024-12-26_20-07-48-150438
1735218478.232049,430354.000,2243,1,TL,1,100,2024-12-26_20-07-53-149247
1735218478.235049,430357.000,2245,1,TL,1,100,2024-12-26_20-07-53-256903
1735218483.344093,435466.000,3080,1,TL,1,100,2024-12-26_20-07-58-303514
1735218483.349092,435471.000,3082,1,TL,1,100,2024-12-26_20-07-58-365631
1735218483.393093,435515.000,3085,1,TL,1,100,2024-12-26_20-08-03-383815
1735218488.451137,440573.000,3920,1,TL,1,100,2024-12-26_20-08-03-445976
1735218493.569181,445691.000,4758,1,TL,1,100,2024-12-26_20-08-08-554459
1735218493.571181,445693.000,4760,1,TL,1,100,2024-12-26_20-08-08-662078
1735218498.677225,450799.000,5578,1,TL,1,100,2024-12-26_20-08-13-625807
1735218498.682225,450804.000,5580,1,TL,1,100,2024-12-26_20-08-13-703624
1735218498.748225,450870.000,5583,1,TL,1,100,2024-12-26_20-08-18-711775
1735218503.787269,455909.000,6416,1,TL,1,100,2024-12-26_20-08-18-803852
1735218508.899313,461021.000,7252,1,TL,1,100,2024-12-26_20-08-23-848480
1735218508.901313,461023.000,7254,1,TL,1,100,2024-12-26_20-08-23-941759
1735218508.965314,461087.000,7257,1,TL,1,100,2024-12-26_20-08-28-950176
1735218514.006357,466128.000,8091,1,TL,1,100,2024-12-26_20-08-28-980788
1735218519.115401,471237.000,8926,1,TL,1,100,2024-12-26_20-08-34-044842
1735218519.121401,471243.000,8928,1,TL,1,100,2024-12-26_20-08-34-343086
1735218524.232445,476354.000,9764,1,TL,1,100,2024-12-26_20-08-39-188484
1735218524.234445,476356.000,9766,1,TL,1,100,2024-12-26_20-08-39-310494
1735218529.348490,481470.000,10599,1,TL,1,100,2024-12-26_20-08-44-375594
1735218529.350490,481472.000,10601,1,TL,1,100,2024-12-26_20-08-44-421861
1735218529.454490,481576.000,10604,1,TL,1,100,2024-12-26_20-08-49-403224
1735218534.465534,486587.000,11421,1,TL,1,100,2024-12-26_20-08-49-541503
1735218539.580578,491702.000,12257,1,TL,1,100,2024-12-26_20-08-55-777841
1735218539.585578,491707.000,12259,1,TL,1,100,2024-12-26_20-08-55-809348
1735218539.677579,491799.000,12262,1,TL,1,100,2024-12-26_20-08-59-651668
1735218544.690622,496812.000,13094,1,TL,1,100,2024-12-26_20-08-59-744137
1735218549.815666,501937.000,13930,1,TL,1,100,2024-12-26_20-09-04-790166
1735218549.817666,501939.000,13932,1,TL,1,100,2024-12-26_20-09-05-071625
1735218549.896667,502018.000,13935,1,TL,1,100,2024-12-26_20-09-09-868058
1735218554.925710,507047.000,14769,1,TL,1,100,2024-12-26_20-09-09-929588
1735218555.009711,507131.000,14772,1,TL,1,100,2024-12-26_20-09-14-980626
1735218560.036754,512158.000,15604,1,TL,1,100,2024-12-26_20-09-15-073787
1735218565.160799,517282.000,16440,1,TL,1,100,2024-12-26_20-09-20-552902
1735218565.162799,517284.000,16442,1,TL,1,100,2024-12-26_20-09-20-583300
1735218570.268843,522390.000,17261,1,TL,1,100,2024-12-26_20-09-25-286882
1735218570.270843,522392.000,17263,1,TL,1,100,2024-12-26_20-09-25-409340
1735218570.303843,522425.000,17266,1,TL,1,100,2024-12-26_20-09-30-289603
1735218575.376887,527498.000,18098,1,TL,1,100,2024-12-26_20-09-30-383878
1735218575.415887,527537.000,18101,1,TL,1,100,2024-12-26_20-09-35-404398
1735218580.487931,532609.000,18931,1,TL,1,100,2024-12-26_20-09-35-434614
1735218585.594975,537716.000,19747,1,TL,1,100,2024-12-26_20-09-40-608476
1735218585.596975,537718.000,19749,1,TL,1,100,2024-12-26_20-09-40-729592
1735218585.676975,537798.000,19752,1,TL,1,100,2024-12-26_20-09-45-656694
1735218590.703019,542824.000,20584,1,TL,1,100,2024-12-26_20-09-45-717651
1735218595.821063,547942.000,21418,1,TL,1,100,2024-12-26_20-09-50-808806
1735218595.824063,547945.000,21420,1,TL,1,100,2024-12-26_20-09-50-885735
1735218600.942107,553063.000,22251,1,TL,1,100,2024-12-26_20-09-56-093339
1735218600.944107,553065.000,22253,1,TL,1,100,2024-12-26_20-09-56-230641
1735218600.998108,553119.000,22256,1,TL,1,100,2024-12-26_20-10-00-987528
1735218606.063151,558184.000,23088,1,TL,1,100,2024-12-26_20-10-01-064322
1735218611.183196,563304.000,23923,1,TL,1,100,2024-12-26_20-10-06-120088
1735218611.185196,563306.000,23925,1,TL,1,100,2024-12-26_20-10-06-242934
1735218616.305240,568426.000,24756,1,TL,1,100,2024-12-26_20-10-11-303708
1735218616.310240,568431.000,24758,1,TL,1,100,2024-12-26_20-10-11-489355
1735218616.356240,568477.000,24761,1,TL,1,100,2024-12-26_20-10-16-344702
1735218621.413284,573534.000,25594,1,TL,1,100,2024-12-26_20-10-16-439215
1735218626.523328,578644.000,26432,1,TL,1,100,2024-12-26_20-10-21-559221
1735218626.525328,578646.000,26434,1,TL,1,100,2024-12-26_20-10-21-590088
1735218626.555328,578676.000,26437,1,TL,1,100,2024-12-26_20-10-26-541061
1735218631.631372,583752.000,27269,1,TL,1,100,2024-12-26_20-10-26-620084
1735218631.728373,583849.000,27272,1,TL,1,100,2024-12-26_20-10-31-714974
1735218636.751416,588872.000,28106,1,TL,1,100,2024-12-26_20-10-31-853823
1735218636.829417,588950.000,28109,1,TL,1,100,2024-12-26_20-10-36-799144
1735218647.014505,599135.000,29779,1,TL,1,100,2024-12-26_20-10-42-017510
1735218647.016505,599137.000,29781,1,TL,1,100,2024-12-26_20-10-42-140390
1735218652.130549,604251.000,30612,1,TL,1,100,2024-12-26_20-10-47-125791
1735218652.136549,604257.000,30614,1,TL,1,100,2024-12-26_20-10-47-173128
1735218652.175549,604296.000,30617,1,TL,1,100,2024-12-26_20-10-52-157959
1735218657.241593,609362.000,31451,1,TL,1,100,2024-12-26_20-10-52-235911
1735218657.284594,609405.000,31454,1,TL,1,100,2024-12-26_20-10-57-271524
1735218662.348637,614469.000,32286,1,TL,1,100,2024-12-26_20-10-57-302299
1735218667.458681,619579.000,33123,1,TL,1,100,2024-12-26_20-11-02-449452
1735218667.461681,619582.000,33125,1,TL,1,100,2024-12-26_20-11-02-574769
1735218667.545682,619666.000,33128,1,TL,1,100,2024-12-26_20-11-07-519238
