LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1735218293.086451,245210.000,37743,1,GX,1,100,1.831
1735218293.126451,245250.000,37762,2,GX,1,100,2.899
1735218293.166451,245290.000,37762,2,GX,1,100,-1.068
1735218293.206452,245330.000,37781,3,GX,1,100,-1.678
1735218293.246452,245370.000,37781,3,GX,1,100,0.519
1735218293.286453,245410.000,37781,3,GX,1,100,0.275
1735218293.326453,245450.000,37795,2,GX,1,100,-0.092
1735218293.366453,245490.000,37795,2,GX,1,100,-0.031
1735218293.406454,245530.000,37813,3,GX,1,100,0.183
1735218293.446454,245570.000,37813,3,GX,1,100,2.350
1735218293.486454,245610.000,37813,3,GX,1,100,2.563
1735218293.526455,245650.000,37829,2,GX,1,100,-0.122
1735218293.566455,245690.000,37829,2,GX,1,100,0.244
1735218293.606122,245729.667,37846,3,GX,1,100,0.793
1735218293.645789,245769.333,37846,3,GX,1,100,0.031
1735218293.685456,245809.000,37846,3,GX,1,100,1.587
1735218293.725456,245849.000,37861,2,GX,1,100,0.458
1735218293.765457,245889.000,37861,2,GX,1,100,-1.831
1735218293.805457,245929.000,37878,3,GX,1,100,-0.641
1735218293.845457,245969.000,37878,3,GX,1,100,0.641
1735218293.885458,246009.000,37878,3,GX,1,100,-0.427
1735218293.925458,246049.000,37899,4,GX,1,100,-0.275
1735218293.965458,246089.000,37899,4,GX,1,100,1.312
1735218294.005459,246129.000,37899,4,GX,1,100,-0.427
1735218294.045459,246169.000,37899,4,GX,1,100,-2.350
1735218294.081126,246204.667,37919,3,GX,1,100,-1.007
1735218294.116793,246240.333,37919,3,GX,1,100,0.488
1735218294.152460,246276.000,37919,3,GX,1,100,0.458
1735218294.192460,246316.000,37935,2,GX,1,100,0.275
1735218294.232461,246356.000,37935,2,GX,1,100,-0.946
1735218294.272461,246396.000,37952,3,GX,1,100,-0.916
1735218294.312461,246436.000,37952,3,GX,1,100,0.549
1735218294.352462,246476.000,37952,3,GX,1,100,0.397
1735218294.392462,246516.000,37967,2,GX,1,100,-0.427
1735218294.432462,246556.000,37967,2,GX,1,100,0.244
1735218294.472463,246596.000,37984,3,GX,1,100,0.214
1735218294.512463,246636.000,37984,3,GX,1,100,-1.007
1735218294.552464,246676.000,37984,3,GX,1,100,-1.404
1735218294.592464,246716.000,38000,2,GX,1,100,0.214
1735218294.632464,246756.000,38000,2,GX,1,100,0.397
1735218294.672464,246796.000,38017,3,GX,1,100,-0.793
1735218294.712465,246836.000,38017,3,GX,1,100,0.061
1735218294.752465,246876.000,38017,3,GX,1,100,0.854
1735218294.792465,246916.000,38033,2,GX,1,100,-0.122
1735218294.832466,246956.000,38033,2,GX,1,100,-0.641
1735218294.872466,246996.000,38049,3,GX,1,100,-0.092
1735218294.912467,247036.000,38049,3,GX,1,100,1.038
1735218294.952467,247076.000,38049,3,GX,1,100,1.465
1735218294.992467,247116.000,38067,3,GX,1,100,1.373
1735218295.032468,247156.000,38067,3,GX,1,100,1.678
1735218295.072468,247196.000,38067,3,GX,1,100,2.045
1735218295.112468,247236.000,38085,2,GX,1,100,-0.763
1735218295.152469,247276.000,38085,2,GX,1,100,-2.228
1735218295.188136,247311.667,38101,3,GX,1,100,-2.136
1735218295.223803,247347.333,38101,3,GX,1,100,-2.319
1735218295.259470,247383.000,38101,3,GX,1,100,-0.061
1735218295.299470,247423.000,38116,2,GX,1,100,3.510
1735218295.339470,247463.000,38116,2,GX,1,100,1.740
1735218295.379471,247503.000,38133,3,GX,1,100,-0.977
1735218295.419471,247543.000,38133,3,GX,1,100,-1.831
1735218295.459471,247583.000,38133,3,GX,1,100,-2.777
1735218295.499472,247623.000,38150,3,GX,1,100,-3.021
1735218295.539472,247663.000,38150,3,GX,1,100,-1.373
1735218295.579472,247703.000,38150,3,GX,1,100,0.671
1735218295.619473,247743.000,38166,2,GX,1,100,1.923
1735218295.659473,247783.000,38166,2,GX,1,100,1.495
1735218295.699473,247823.000,38183,3,GX,1,100,0.916
1735218295.739474,247863.000,38183,3,GX,1,100,0.336
1735218295.779474,247903.000,38183,3,GX,1,100,-0.732
1735218295.819474,247943.000,38200,2,GX,1,100,-0.824
1735218295.859475,247983.000,38200,2,GX,1,100,-0.702
1735218295.899475,248023.000,38217,3,GX,1,100,-0.275
1735218295.939475,248063.000,38217,3,GX,1,100,-0.092
1735218295.979476,248103.000,38217,3,GX,1,100,0.061
1735218296.019476,248143.000,38233,2,GX,1,100,-0.061
1735218296.059476,248183.000,38233,2,GX,1,100,0.458
1735218296.099477,248223.000,38249,3,GX,1,100,0.946
1735218296.139477,248263.000,38249,3,GX,1,100,0.916
1735218296.179477,248303.000,38249,3,GX,1,100,-1.190
1735218296.219478,248343.000,38265,2,GX,1,100,-2.289
1735218296.259478,248383.000,38265,2,GX,1,100,-0.977
1735218296.299479,248423.000,38282,3,GX,1,100,0.488
1735218296.339479,248463.000,38282,3,GX,1,100,1.007
1735218296.379479,248503.000,38282,3,GX,1,100,0.702
1735218296.414813,248538.333,38299,3,GX,1,100,-0.275
1735218296.450146,248573.667,38299,3,GX,1,100,-0.854
1735218296.485480,248609.000,38299,3,GX,1,100,-0.183
1735218296.525481,248649.000,38314,2,GX,1,100,1.129
1735218296.565481,248689.000,38314,2,GX,1,100,2.045
1735218296.605481,248729.000,38332,3,GX,1,100,4.639
1735218296.645482,248769.000,38332,3,GX,1,100,6.287
1735218296.685482,248809.000,38332,3,GX,1,100,2.502
1735218296.725482,248849.000,38349,2,GX,1,100,-1.984
1735218296.765482,248889.000,38349,2,GX,1,100,-2.747
1735218296.805483,248929.000,38366,3,GX,1,100,-1.312
1735218296.845483,248969.000,38366,3,GX,1,100,0.305
1735218296.885484,249009.000,38366,3,GX,1,100,2.136
1735218296.925484,249049.000,38382,2,GX,1,100,2.716
1735218296.965484,249089.000,38382,2,GX,1,100,0.336
1735218297.005485,249129.000,38397,3,GX,1,100,-2.014
1735218297.045485,249169.000,38397,3,GX,1,100,-1.892
1735218297.085485,249209.000,38397,3,GX,1,100,-1.038
1735218297.125486,249249.000,38415,2,GX,1,100,-0.977
1735218297.165486,249289.000,38415,2,GX,1,100,-1.343
1735218297.205486,249329.000,38431,3,GX,1,100,-0.671
1735218297.245487,249369.000,38431,3,GX,1,100,0.275
1735218297.285487,249409.000,38431,3,GX,1,100,0.854
1735218297.325487,249449.000,38448,3,GX,1,100,0.702
1735218297.365488,249489.000,38448,3,GX,1,100,-0.427
1735218297.405488,249529.000,38448,3,GX,1,100,-0.916
1735218297.445488,249569.000,38465,2,GX,1,100,0.214
1735218297.485489,249609.000,38465,2,GX,1,100,0.580
1735218297.521156,249644.667,38482,3,GX,1,100,-0.610
1735218297.556823,249680.333,38482,3,GX,1,100,-0.763
1735218297.592490,249716.000,38482,3,GX,1,100,0.671
1735218297.632490,249756.000,38498,3,GX,1,100,0.916
1735218297.672490,249796.000,38498,3,GX,1,100,0.732
1735218297.712491,249836.000,38498,3,GX,1,100,0.488
1735218297.752491,249876.000,38516,2,GX,1,100,-0.061
1735218297.792491,249916.000,38516,2,GX,1,100,-0.702
1735218297.832492,249956.000,38530,3,GX,1,100,-0.458
1735218297.872492,249996.000,38530,3,GX,1,100,0.183
1735218297.912493,250036.000,38530,3,GX,1,100,0.458
1735218297.952493,250076.000,38547,2,GX,1,100,0.671
1735218297.992493,250116.000,38547,2,GX,1,100,0.671
1735218298.032493,250156.000,38563,3,GX,1,100,0.275
1735218298.072494,250196.000,38563,3,GX,1,100,-0.153
1735218298.112494,250236.000,38563,3,GX,1,100,0.000
1735218298.152494,250276.000,38583,2,GX,1,100,-0.153
1735218298.192495,250316.000,38583,2,GX,1,100,-0.946
1735218298.232495,250356.000,38599,3,GX,1,100,-0.092
1735218298.272496,250396.000,38599,3,GX,1,100,0.732
1735218298.312496,250436.000,38599,3,GX,1,100,0.793
1735218298.352496,250476.000,38616,2,GX,1,100,0.519
1735218298.392497,250516.000,38616,2,GX,1,100,0.244
1735218298.432497,250556.000,38633,3,GX,1,100,0.061
1735218298.472497,250596.000,38633,3,GX,1,100,0.153
1735218298.512498,250636.000,38633,3,GX,1,100,0.031
1735218298.552498,250676.000,38650,2,GX,1,100,-1.038
1735218298.592498,250716.000,38650,2,GX,1,100,-1.038
1735218298.632499,250756.000,38664,3,GX,1,100,0.153
1735218298.672499,250796.000,38664,3,GX,1,100,0.031
1735218298.712499,250836.000,38664,3,GX,1,100,-0.275
1735218298.747833,250871.333,38682,3,GX,1,100,-0.275
1735218298.783167,250906.667,38682,3,GX,1,100,0.366
1735218298.818500,250942.000,38682,3,GX,1,100,1.221
1735218298.858500,250982.000,38698,2,GX,1,100,0.763
1735218298.898501,251022.000,38698,2,GX,1,100,0.549
1735218298.938501,251062.000,38717,3,GX,1,100,0.519
1735218298.978502,251102.000,38717,3,GX,1,100,-0.977
1735218299.018502,251142.000,38717,3,GX,1,100,-2.930
1735218299.058502,251182.000,38737,3,GX,1,100,-2.075
1735218299.098503,251222.000,38737,3,GX,1,100,-0.214
1735218299.138503,251262.000,38737,3,GX,1,100,3.845
1735218299.178503,251302.000,38753,3,GX,1,100,4.517
1735218299.218504,251342.000,38753,3,GX,1,100,2.045
1735218299.258504,251382.000,38753,3,GX,1,100,-1.556
1735218299.298504,251422.000,38768,2,GX,1,100,-3.723
1735218299.338505,251462.000,38768,2,GX,1,100,-3.204
1735218299.378505,251502.000,38785,3,GX,1,100,-0.549
