LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MY
1735218293.086451,245210.000,37747,1,MY,1,100,29
1735218293.126451,245250.000,37766,2,MY,1,100,28
1735218293.166451,245290.000,37766,2,MY,1,100,29
1735218293.206452,245330.000,37785,3,MY,1,100,31
1735218293.246452,245370.000,37785,3,MY,1,100,28
1735218293.286453,245410.000,37785,3,MY,1,100,29
1735218293.326453,245450.000,37799,2,MY,1,100,28
1735218293.366453,245490.000,37799,2,MY,1,100,29
1735218293.406454,245530.000,37817,3,MY,1,100,28
1735218293.446454,245570.000,37817,3,MY,1,100,28
1735218293.486454,245610.000,37817,3,MY,1,100,29
1735218293.526455,245650.000,37833,2,MY,1,100,28
1735218293.566455,245690.000,37833,2,MY,1,100,29
1735218293.606122,245729.667,37850,3,MY,1,100,29
1735218293.645789,245769.333,37850,3,MY,1,100,29
1735218293.685456,245809.000,37850,3,MY,1,100,29
1735218293.725456,245849.000,37865,2,MY,1,100,29
1735218293.765457,245889.000,37865,2,MY,1,100,28
1735218293.805457,245929.000,37882,3,MY,1,100,29
1735218293.845457,245969.000,37882,3,MY,1,100,29
1735218293.885458,246009.000,37882,3,MY,1,100,30
1735218293.925458,246049.000,37903,4,MY,1,100,30
1735218293.965458,246089.000,37903,4,MY,1,100,29
1735218294.005459,246129.000,37903,4,MY,1,100,30
1735218294.045459,246169.000,37903,4,MY,1,100,28
1735218294.081126,246204.667,37923,3,MY,1,100,30
1735218294.116793,246240.333,37923,3,MY,1,100,29
1735218294.152460,246276.000,37923,3,MY,1,100,28
1735218294.192460,246316.000,37939,2,MY,1,100,29
1735218294.232461,246356.000,37939,2,MY,1,100,30
1735218294.272461,246396.000,37956,3,MY,1,100,30
1735218294.312461,246436.000,37956,3,MY,1,100,28
1735218294.352462,246476.000,37956,3,MY,1,100,29
1735218294.392462,246516.000,37971,2,MY,1,100,29
1735218294.432462,246556.000,37971,2,MY,1,100,28
1735218294.472463,246596.000,37988,3,MY,1,100,28
1735218294.512463,246636.000,37988,3,MY,1,100,29
1735218294.552464,246676.000,37988,3,MY,1,100,29
1735218294.592464,246716.000,38004,2,MY,1,100,28
1735218294.632464,246756.000,38004,2,MY,1,100,28
1735218294.672464,246796.000,38021,3,MY,1,100,30
1735218294.712465,246836.000,38021,3,MY,1,100,29
1735218294.752465,246876.000,38021,3,MY,1,100,29
1735218294.792465,246916.000,38037,2,MY,1,100,30
1735218294.832466,246956.000,38037,2,MY,1,100,29
1735218294.872466,246996.000,38053,3,MY,1,100,30
1735218294.912467,247036.000,38053,3,MY,1,100,29
1735218294.952467,247076.000,38053,3,MY,1,100,28
1735218294.992467,247116.000,38071,3,MY,1,100,29
1735218295.032468,247156.000,38071,3,MY,1,100,29
1735218295.072468,247196.000,38071,3,MY,1,100,28
1735218295.112468,247236.000,38089,2,MY,1,100,29
1735218295.152469,247276.000,38089,2,MY,1,100,28
1735218295.188136,247311.667,38105,3,MY,1,100,29
1735218295.223803,247347.333,38105,3,MY,1,100,28
1735218295.259470,247383.000,38105,3,MY,1,100,28
1735218295.299470,247423.000,38120,2,MY,1,100,30
1735218295.339470,247463.000,38120,2,MY,1,100,29
1735218295.379471,247503.000,38137,3,MY,1,100,28
1735218295.419471,247543.000,38137,3,MY,1,100,28
1735218295.459471,247583.000,38137,3,MY,1,100,28
1735218295.499472,247623.000,38154,3,MY,1,100,29
1735218295.539472,247663.000,38154,3,MY,1,100,27
1735218295.579472,247703.000,38154,3,MY,1,100,29
