LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1734179566.049579,254213.000,38640,2,AK,1,100,RD
1734179566.060579,254224.000,38643,2,AK,1,100,38641
1734179566.071579,254235.000,38643,2,AK,1,100,RD
1734179568.620579,256784.000,39474,2,AK,1,100,38641
1734179571.169578,259333.000,39474,2,AK,1,100,RD
1734179571.178578,259342.000,39477,2,AK,1,100,39475
1734179571.187578,259351.000,39477,2,AK,1,100,RD
1734179573.740578,261904.000,40309,2,AK,1,100,39475
1734179576.293577,264457.000,40309,2,AK,1,100,RD
1734179576.303077,264466.500,40312,2,AK,1,100,40310
1734179576.312577,264476.000,40312,2,AK,1,100,RD
1734179578.865577,267029.000,41143,2,AK,1,100,40310
1734179581.418576,269582.000,41143,2,AK,1,100,RD
1734179581.425576,269589.000,41146,2,AK,1,100,41144
1734179581.432576,269596.000,41146,2,AK,1,100,RD
1734179583.989076,272152.500,41978,2,AK,1,100,41144
1734179586.545575,274709.000,41978,2,AK,1,100,RD
1734179586.553575,274717.000,41981,2,AK,1,100,41979
1734179586.561575,274725.000,41981,2,AK,1,100,RD
1734179589.107075,277270.500,42797,2,AK,1,100,41979
1734179591.652574,279816.000,42797,2,AK,1,100,RD
1734179591.663074,279826.500,42800,2,AK,1,100,42798
1734179591.673574,279837.000,42800,2,AK,1,100,RD
1734179594.231574,282395.000,43633,2,AK,1,100,42798
1734179596.789573,284953.000,43633,2,AK,1,100,RD
1734179596.797573,284961.000,43636,2,AK,1,100,43634
1734179596.805573,284969.000,43636,2,AK,1,100,RD
1734179599.357073,287520.500,44466,2,AK,1,100,43634
1734179601.908572,290072.000,44466,2,AK,1,100,RD
1734179601.914073,290077.500,44469,2,AK,1,100,44467
1734179601.919572,290083.000,44469,2,AK,1,100,RD
1734179604.471572,292635.000,45301,2,AK,1,100,44467
1734179607.023571,295187.000,45301,2,AK,1,100,RD
1734179607.034071,295197.500,45304,2,AK,1,100,45302
1734179607.044571,295208.000,45304,2,AK,1,100,RD
1734179609.595571,297759.000,46139,2,AK,1,100,45302
1734179612.146570,300310.000,46139,2,AK,1,100,RD
1734179612.153070,300316.500,46142,2,AK,1,100,46140
1734179612.159570,300323.000,46142,2,AK,1,100,RD
1734179614.717570,302881.000,46974,2,AK,1,100,46140
1734179617.275569,305439.000,46974,2,AK,1,100,RD
1734179617.305069,305468.500,46977,2,AK,1,100,46975
1734179617.334569,305498.000,46977,2,AK,1,100,RD
1734179619.864069,308027.500,47815,2,AK,1,100,46975
1734179622.393569,310557.000,47815,2,AK,1,100,RD
1734179622.401068,310564.500,47818,2,AK,1,100,47816
1734179622.408568,310572.000,47818,2,AK,1,100,RD
1734179624.955568,313119.000,48639,2,AK,1,100,47816
1734179627.502568,315666.000,48639,2,AK,1,100,RD
1734179627.509068,315672.500,48642,2,AK,1,100,48640
