LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1734179449.183602,137347,19828,1,SR,1,100,0.933333
1734179457.048600,145212,20996,1,SR,1,100,0.333333
1734179472.047597,160211,23422,1,SR,1,100,0.466667
1734179483.780595,171944,25336,1,SR,1,100,0.333333
1734179489.045594,177209,26190,1,SR,1,100,0.333333
1734179489.512594,177676,26225,1,SR,1,100,0.066667
1734179495.312593,183476,27195,1,SR,1,100,0.266667
1734179497.911592,186075,27565,1,SR,1,100,0.266667
1734179509.443590,197607,29557,1,SR,1,100,0.800000
1734179514.043589,202207,30188,1,SR,1,100,0.066667
1734179523.309587,211473,31856,1,SR,1,100,1.000000
1734179524.442587,212606,31926,1,SR,1,100,0.266667
1734179607.500571,295664,45425,1,SR,1,100,0.200000
1734179620.699569,308863,47613,1,SR,1,100,0.400000
1734179621.232569,309396,47747,1,SR,1,100,0.666667
1734179622.032568,310196,47783,1,SR,1,100,0.066667
1734179623.966568,312130,48138,1,SR,1,100,0.400000
1734179626.565568,314729,48540,1,SR,1,100,0.200000
1734179627.365567,315529,48663,1,SR,1,100,0.266667
1734179641.163565,329327,50997,1,SR,1,100,0.733333
1734179667.228560,355392,55158,1,SR,1,100,0.266667
1734179693.625555,381789,59509,1,SR,1,100,0.600000
1734179694.358555,382522,59543,1,SR,1,100,0.066667
1734179755.819543,443983,4083,1,SR,1,100,0.333333
1734179756.285543,444449,4133,1,SR,1,100,0.133333
1734179798.615535,486779,11058,1,SR,1,100,0.066667
1734179803.614533,491778,11998,1,SR,1,100,0.733333
1734179842.143526,530307,18304,1,SR,1,100,0.733333
1734179883.140518,571304,24949,1,SR,1,100,0.133333
1734179883.940518,572104,25086,1,SR,1,100,0.200000
1734179884.406518,572570,25189,1,SR,1,100,0.333333
1734179893.071516,581235,26641,1,SR,1,100,0.466667
1734179949.933505,638097,35902,1,SR,1,100,0.866667
1734179957.465504,645629,36959,1,SR,1,100,0.266667
1734179961.264503,649428,37598,1,SR,1,100,0.266667
1734179975.131500,663295,39910,1,SR,1,100,0.666667
1734179977.997500,666161,40358,1,SR,1,100,0.600000
1734179981.462499,669626,40983,1,SR,1,100,0.866667
1734179990.062498,678226,42302,1,SR,1,100,0.400000
1734179990.596497,678760,42525,1,SR,1,100,1.200000
1734179999.127496,687291,43827,1,SR,1,100,0.666667
1734180002.394495,690558,44377,1,SR,1,100,0.733333
1734180023.992491,712156,47822,1,SR,1,100,0.400000
1734180085.453479,773617,57796,1,SR,1,100,0.200000
1734180085.785479,773949,57847,1,SR,1,100,0.133333
1734180118.115473,806279,63130,1,SR,1,100,0.266667
1734180148.779467,836943,2813,1,SR,1,100,1.600000
1734180152.379466,840543,3159,1,SR,1,100,0.066667
1734180207.973455,896137,12302,1,SR,1,100,0.333333
1734180234.504450,922668,16597,1,SR,1,100,0.066667
1734180246.903448,935067,18640,1,SR,1,100,0.133333
1734180275.300442,963464,23300,1,SR,1,100,0.200000
1734180293.899439,982063,26375,1,SR,1,100,0.466667
1734180294.631439,982795,26494,1,SR,1,100,0.466667
1734180298.497438,986661,27145,1,SR,1,100,0.533333
1734180301.031438,989195,27513,1,SR,1,100,0.266667
1734180314.363435,1002527,29754,1,SR,1,100,0.533333
1734180326.161433,1014325,31625,1,SR,1,100,0.200000
1734180343.427429,1031591,34764,1,SR,1,100,2.133333
1734180348.560428,1036724,35485,1,SR,1,100,1.466667
