LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1734686984.799284,1261232.000,6969,4,GY,1,100,-0.946
1734686984.799284,1261232.000,6969,4,GY,1,100,-0.305
1734686984.799284,1261232.000,6969,4,GY,1,100,-1.526
1734686984.799284,1261232.000,6969,4,GY,1,100,-2.136
1734686984.839283,1261272.000,6984,2,GY,1,100,-1.190
1734686984.879282,1261312.000,6984,2,GY,1,100,-1.312
1734686984.919282,1261352.000,7000,3,GY,1,100,-0.763
1734686984.959281,1261392.000,7000,3,GY,1,100,-0.610
1734686984.999280,1261432.000,7000,3,GY,1,100,-0.885
1734686985.039279,1261472.000,7018,3,GY,1,100,-0.641
1734686985.079278,1261512.000,7018,3,GY,1,100,-0.641
1734686985.119278,1261552.000,7018,3,GY,1,100,-1.404
1734686985.159277,1261592.000,7038,2,GY,1,100,-0.275
1734686985.199276,1261632.000,7038,2,GY,1,100,-0.458
1734686985.239275,1261672.000,7054,3,GY,1,100,-0.122
1734686985.279274,1261712.000,7054,3,GY,1,100,0.488
1734686985.319274,1261752.000,7054,3,GY,1,100,1.160
1734686985.359273,1261792.000,7070,2,GY,1,100,1.709
1734686985.399272,1261832.000,7070,2,GY,1,100,4.517
1734686985.439271,1261872.000,7087,3,GY,1,100,2.655
1734686985.479270,1261912.000,7087,3,GY,1,100,-0.885
1734686985.519270,1261952.000,7087,3,GY,1,100,-0.519
1734686985.559269,1261992.000,7103,2,GY,1,100,1.343
1734686985.599268,1262032.000,7103,2,GY,1,100,0.916
1734686985.639267,1262072.000,7119,3,GY,1,100,5.096
1734686985.679267,1262112.000,7119,3,GY,1,100,3.815
1734686985.719266,1262152.000,7119,3,GY,1,100,4.547
1734686985.754598,1262187.333,7135,3,GY,1,100,-0.519
1734686985.789931,1262222.667,7135,3,GY,1,100,-0.885
1734686985.825264,1262258.000,7135,3,GY,1,100,3.510
1734686985.865263,1262298.000,7152,2,GY,1,100,-2.411
1734686985.905262,1262338.000,7152,2,GY,1,100,0.488
1734686985.945261,1262378.000,7170,3,GY,1,100,0.854
1734686985.985260,1262418.000,7170,3,GY,1,100,-0.061
1734686986.025260,1262458.000,7170,3,GY,1,100,9.003
1734686986.065259,1262498.000,7188,2,GY,1,100,6.165
1734686986.105258,1262538.000,7188,2,GY,1,100,-0.397
1734686986.145257,1262578.000,7204,3,GY,1,100,-1.068
1734686986.185256,1262618.000,7204,3,GY,1,100,-5.554
1734686986.225256,1262658.000,7204,3,GY,1,100,-7.935
1734686986.265255,1262698.000,7221,2,GY,1,100,6.317
1734686986.305254,1262738.000,7221,2,GY,1,100,2.411
1734686986.345253,1262778.000,7238,3,GY,1,100,1.312
