RD,TS_received,TS_sent,AK,RoundTrip,
1261146,1266264,2024-12-20_16-29-44-851542,1266265,5118,
1266268,1271395,2024-12-20_16-29-49-842556,1271396,5127,
1271399,1276521,2024-12-20_16-29-55-060536,1276526,5122,
1276529,1276551,2024-12-20_16-30-00-106980,1276553,22,
1281633,1286774,2024-12-20_16-30-05-280534,1286778,5141,
1286781,1286806,2024-12-20_16-30-10-363760,1286808,25,
1291886,1296992,2024-12-20_16-30-15-635712,1296993,5106,
1296996,1302115,2024-12-20_16-30-20-655714,1302117,5119,
1302123,1307250,2024-12-20_16-30-25-756010,1307255,5127,
1307258,1307300,2024-12-20_16-30-30-855959,1307301,42,
1312363,1312455,2024-12-20_16-30-35-961239,1312457,92,
1317473,1317535,2024-12-20_16-30-41-059964,1317536,62,
1322580,1327713,2024-12-20_16-30-46-264019,1327714,5133,
1327721,1332821,2024-12-20_16-30-51-317087,1332822,5100,
1332829,1332907,2024-12-20_16-30-56-424132,1332908,78,
1337936,1343234,2024-12-20_16-31-01-583231,1343238,5298,
1343242,1343283,2024-12-20_16-31-06-834506,1343284,41,
1348346,1348371,2024-12-20_16-31-11-921479,1348373,25,
1353453,1358587,2024-12-20_16-31-17-177895,1358588,5134,
1358592,1358625,2024-12-20_16-31-22-182846,1358627,33,
1363726,1368871,2024-12-20_16-31-27-376843,1368872,5145,
1368879,1373982,2024-12-20_16-31-32-548040,1373983,5103,
1373987,1379111,2024-12-20_16-31-37-577429,1379116,5124,
1379120,1384221,2024-12-20_16-31-42-752395,1384223,5101,
1384226,1384250,2024-12-20_16-31-47-809667,1384252,24,
1389332,1394473,2024-12-20_16-31-52-941235,1394475,5141,
1394478,1394553,2024-12-20_16-31-58-106402,1394554,75,
1399634,1404757,2024-12-20_16-32-03-263343,1404758,5123,
1404762,1409865,2024-12-20_16-32-08-446966,1409867,5103,
1409874,1414999,2024-12-20_16-32-13-554499,1415001,5125,
1415008,1420132,2024-12-20_16-32-18-685460,1420133,5124,
1420140,1425261,2024-12-20_16-32-23-785441,1425262,5121,
1425265,1425280,2024-12-20_16-32-28-838288,1425284,15,
1430393,1435498,2024-12-20_16-32-34-047068,1435499,5105,
1435503,1440643,2024-12-20_16-32-39-233028,1440644,5140,
1440647,1440671,2024-12-20_16-32-44-224402,1440674,24,
1445778,1445794,2024-12-20_16-32-49-351187,1445795,16,
1450903,1450956,2024-12-20_16-32-54-509501,1450961,53,
1456035,1461161,2024-12-20_16-32-59-654101,1461162,5126,
1461165,1461222,2024-12-20_16-33-04-741895,1461223,57,
1466268,1466282,2024-12-20_16-33-09-838412,1466288,14,
1471403,1476534,2024-12-20_16-33-15-011844,1476536,5131,
1476540,1476567,2024-12-20_16-33-20-117994,1476571,27,
1481674,1486799,2024-12-20_16-33-25-256062,1486800,5125,
1486805,1486873,2024-12-20_16-33-30-421406,1486878,68,
1491924,1497049,2024-12-20_16-33-35-565731,1497051,5125,
1497055,1497103,2024-12-20_16-33-40-646800,1497104,48,
1502163,1502210,2024-12-20_16-33-45-740715,1502211,47,
1507271,1507295,2024-12-20_16-33-50-844509,1507296,24,
1512386,1517491,2024-12-20_16-33-56-049674,1517492,5105,
1517495,1522612,2024-12-20_16-34-01-127978,1522613,5117,
1522616,1522647,2024-12-20_16-34-06-192012,1522648,31,
1527741,1527776,2024-12-20_16-34-11-324001,1527780,35,
1532874,1537978,2024-12-20_16-34-16-549175,1537979,5104,
1537983,1543094,2024-12-20_16-34-21-721168,1543098,5111,
1543101,1543118,2024-12-20_16-34-26-671189,1543119,17,
1548214,1548244,2024-12-20_16-34-31-797166,1548245,30,
1553350,1553419,2024-12-20_16-34-36-935214,1553420,69,
1558477,1563616,2024-12-20_16-34-42-099202,1563617,5139,
1563620,1563644,2024-12-20_16-34-47-195244,1563645,24,
