LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1734686984.666287,1261099.000,6949,1,PG,1,100,9589
1734686984.706286,1261139.000,6960,3,PG,1,100,9582
1734686984.746285,1261179.000,6960,3,PG,1,100,9588
1734686984.786284,1261219.000,6960,3,PG,1,100,9591
1734686984.826283,1261259.000,6977,3,PG,1,100,9585
1734686984.866283,1261299.000,6977,3,PG,1,100,9595
1734686984.906282,1261339.000,6977,3,PG,1,100,9604
1734686984.946281,1261379.000,6991,2,PG,1,100,9604
1734686984.986280,1261419.000,6991,2,PG,1,100,9605
1734686985.030613,1261463.333,7009,3,PG,1,100,9603
1734686985.074945,1261507.667,7009,3,PG,1,100,9592
1734686985.119278,1261552.000,7009,3,PG,1,100,9596
1734686985.159277,1261592.000,7029,2,PG,1,100,9609
1734686985.199276,1261632.000,7029,2,PG,1,100,9612
1734686985.239275,1261672.000,7046,3,PG,1,100,9621
1734686985.279274,1261712.000,7046,3,PG,1,100,9624
1734686985.319274,1261752.000,7046,3,PG,1,100,9620
1734686985.359273,1261792.000,7062,2,PG,1,100,9634
1734686985.399272,1261832.000,7062,2,PG,1,100,9636
1734686985.439271,1261872.000,7078,3,PG,1,100,9628
1734686985.479270,1261912.000,7078,3,PG,1,100,9628
1734686985.519270,1261952.000,7078,3,PG,1,100,9603
1734686985.559269,1261992.000,7094,2,PG,1,100,9591
1734686985.599268,1262032.000,7094,2,PG,1,100,9617
1734686985.639267,1262072.000,7111,3,PG,1,100,9612
1734686985.679267,1262112.000,7111,3,PG,1,100,9619
1734686985.719266,1262152.000,7111,3,PG,1,100,9609
1734686985.759265,1262192.000,7127,2,PG,1,100,9602
1734686985.799264,1262232.000,7127,2,PG,1,100,9615
1734686985.839263,1262272.000,7143,3,PG,1,100,9608
1734686985.879263,1262312.000,7143,3,PG,1,100,9613
1734686985.919262,1262352.000,7143,3,PG,1,100,9629
1734686985.959261,1262392.000,7161,2,PG,1,100,9630
1734686985.999260,1262432.000,7161,2,PG,1,100,9631
1734686986.039259,1262472.000,7179,3,PG,1,100,9631
1734686986.079259,1262512.000,7179,3,PG,1,100,9643
1734686986.119258,1262552.000,7179,3,PG,1,100,9651
1734686986.159257,1262592.000,7197,2,PG,1,100,9635
1734686986.199256,1262632.000,7197,2,PG,1,100,9668
1734686986.239255,1262672.000,7212,3,PG,1,100,9665
1734686986.279255,1262712.000,7212,3,PG,1,100,9660
1734686986.319254,1262752.000,7212,3,PG,1,100,9638
1734686986.359253,1262792.000,7229,3,PG,1,100,9631
1734686986.399252,1262832.000,7229,3,PG,1,100,9634
1734686986.439251,1262872.000,7229,3,PG,1,100,9630
1734686986.479251,1262912.000,7246,2,PG,1,100,9621
1734686986.519250,1262952.000,7246,2,PG,1,100,9639
1734686986.559249,1262992.000,7262,3,PG,1,100,9631
1734686986.599248,1263032.000,7262,3,PG,1,100,9619
1734686986.639247,1263072.000,7262,3,PG,1,100,9623
1734686986.679247,1263112.000,7278,2,PG,1,100,9620
1734686986.719246,1263152.000,7278,2,PG,1,100,9614
1734686986.759245,1263192.000,7294,3,PG,1,100,9626
1734686986.799244,1263232.000,7294,3,PG,1,100,9617
1734686986.839244,1263272.000,7294,3,PG,1,100,9608
1734686986.879243,1263312.000,7311,2,PG,1,100,9624
1734686986.919242,1263352.000,7311,2,PG,1,100,9612
1734686986.959241,1263392.000,7327,3,PG,1,100,9607
1734686986.999240,1263432.000,7327,3,PG,1,100,9612
1734686987.039240,1263472.000,7327,3,PG,1,100,9593
1734686987.079239,1263512.000,7343,2,PG,1,100,9572
1734686987.119238,1263552.000,7343,2,PG,1,100,9571
1734686987.159237,1263592.000,7359,3,PG,1,100,9544
1734686987.199236,1263632.000,7359,3,PG,1,100,9551
1734686987.239236,1263672.000,7359,3,PG,1,100,9554
1734686987.279235,1263712.000,7376,2,PG,1,100,9539
1734686987.319234,1263752.000,7376,2,PG,1,100,9558
1734686987.359233,1263792.000,7393,3,PG,1,100,9558
1734686987.399232,1263832.000,7393,3,PG,1,100,9544
1734686987.439232,1263872.000,7393,3,PG,1,100,9551
1734686987.479231,1263912.000,7408,3,PG,1,100,9556
1734686987.519230,1263952.000,7408,3,PG,1,100,9551
1734686987.559229,1263992.000,7408,3,PG,1,100,9560
1734686987.599228,1264032.000,7424,2,PG,1,100,9553
1734686987.639228,1264072.000,7424,2,PG,1,100,9560
1734686987.679227,1264112.000,7442,3,PG,1,100,9568
1734686987.719226,1264152.000,7442,3,PG,1,100,9554
1734686987.759225,1264192.000,7442,3,PG,1,100,9561
1734686987.799225,1264232.000,7458,2,PG,1,100,9573
1734686987.839224,1264272.000,7458,2,PG,1,100,9561
1734686987.879223,1264312.000,7474,3,PG,1,100,9526
1734686987.919222,1264352.000,7474,3,PG,1,100,9515
1734686987.959221,1264392.000,7474,3,PG,1,100,9520
1734686987.999221,1264432.000,7490,2,PG,1,100,9520
1734686988.039220,1264472.000,7490,2,PG,1,100,9515
1734686988.079219,1264512.000,7507,3,PG,1,100,9515
1734686988.119218,1264552.000,7507,3,PG,1,100,9507
1734686988.159217,1264592.000,7507,3,PG,1,100,9490
1734686988.199217,1264632.000,7523,2,PG,1,100,9486
1734686988.239216,1264672.000,7523,2,PG,1,100,9499
