LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1734686984.799284,1261232.000,6973,4,MZ,1,100, 2
1734686984.799284,1261232.000,6973,4,MZ,1,100, 4
1734686984.799284,1261232.000,6973,4,MZ,1,100, 3
1734686984.799284,1261232.000,6973,4,MZ,1,100, 3
1734686984.839283,1261272.000,6988,2,MZ,1,100, 3
1734686984.879282,1261312.000,6988,2,MZ,1,100, 2
1734686984.919282,1261352.000,7004,3,MZ,1,100, 4
1734686984.959281,1261392.000,7004,3,MZ,1,100, 2
1734686984.999280,1261432.000,7004,3,MZ,1,100, 3
1734686985.039279,1261472.000,7022,3,MZ,1,100, 3
1734686985.079278,1261512.000,7022,3,MZ,1,100, 2
1734686985.119278,1261552.000,7022,3,MZ,1,100, 2
1734686985.159277,1261592.000,7042,2,MZ,1,100, 2
1734686985.199276,1261632.000,7042,2,MZ,1,100, 3
1734686985.239275,1261672.000,7058,3,MZ,1,100, 3
1734686985.279274,1261712.000,7058,3,MZ,1,100, 4
1734686985.319274,1261752.000,7058,3,MZ,1,100, 2
1734686985.359273,1261792.000,7074,2,MZ,1,100, 4
1734686985.399272,1261832.000,7074,2,MZ,1,100, 2
1734686985.439271,1261872.000,7091,3,MZ,1,100, 1
1734686985.479270,1261912.000,7091,3,MZ,1,100, 2
1734686985.519270,1261952.000,7091,3,MZ,1,100, 3
1734686985.559269,1261992.000,7107,2,MZ,1,100, 3
1734686985.599268,1262032.000,7107,2,MZ,1,100, 4
1734686985.639267,1262072.000,7123,3,MZ,1,100, 4
1734686985.679267,1262112.000,7123,3,MZ,1,100, 4
1734686985.719266,1262152.000,7123,3,MZ,1,100, 3
1734686985.754598,1262187.333,7139,3,MZ,1,100, 2
1734686985.789931,1262222.667,7139,3,MZ,1,100, 4
1734686985.825264,1262258.000,7139,3,MZ,1,100, 4
1734686985.865263,1262298.000,7156,2,MZ,1,100, 3
1734686985.905262,1262338.000,7156,2,MZ,1,100, 3
1734686985.945261,1262378.000,7174,3,MZ,1,100, 2
1734686985.985260,1262418.000,7174,3,MZ,1,100, 2
1734686986.025260,1262458.000,7174,3,MZ,1,100, 2
1734686986.065259,1262498.000,7192,2,MZ,1,100, 4
1734686986.105258,1262538.000,7192,2,MZ,1,100, 4
1734686986.145257,1262578.000,7208,3,MZ,1,100, 3
1734686986.185256,1262618.000,7208,3,MZ,1,100, 3
1734686986.225256,1262658.000,7208,3,MZ,1,100, 4
1734686986.265255,1262698.000,7225,2,MZ,1,100, 3
1734686986.305254,1262738.000,7225,2,MZ,1,100, 4
1734686986.345253,1262778.000,7242,3,MZ,1,100, 3
1734686986.385252,1262818.000,7242,3,MZ,1,100, 4
1734686986.425252,1262858.000,7242,3,MZ,1,100, 4
1734686986.465251,1262898.000,7259,2,MZ,1,100, 4
1734686986.505250,1262938.000,7259,2,MZ,1,100, 5
1734686986.545249,1262978.000,7273,3,MZ,1,100, 3
1734686986.585249,1263018.000,7273,3,MZ,1,100, 4
1734686986.625248,1263058.000,7273,3,MZ,1,100, 4
1734686986.665247,1263098.000,7291,3,MZ,1,100, 4
1734686986.705246,1263138.000,7291,3,MZ,1,100, 4
1734686986.745245,1263178.000,7291,3,MZ,1,100, 4
1734686986.785245,1263218.000,7307,2,MZ,1,100, 4
1734686986.825244,1263258.000,7307,2,MZ,1,100, 5
1734686986.865243,1263298.000,7324,3,MZ,1,100, 4
1734686986.905242,1263338.000,7324,3,MZ,1,100, 4
1734686986.945241,1263378.000,7324,3,MZ,1,100, 4
1734686986.978741,1263411.500,7338,2,MZ,1,100, 4
1734686987.012240,1263445.000,7338,2,MZ,1,100, 5
1734686987.052239,1263485.000,7356,3,MZ,1,100, 3
1734686987.092238,1263525.000,7356,3,MZ,1,100, 4
1734686987.132238,1263565.000,7356,3,MZ,1,100, 3
1734686987.172237,1263605.000,7372,3,MZ,1,100, 4
1734686987.212236,1263645.000,7372,3,MZ,1,100, 4
1734686987.252235,1263685.000,7372,3,MZ,1,100, 3
1734686987.292235,1263725.000,7389,2,MZ,1,100, 2
1734686987.332234,1263765.000,7389,2,MZ,1,100, 4
1734686987.372233,1263805.000,7404,3,MZ,1,100, 2
1734686987.412232,1263845.000,7404,3,MZ,1,100, 4
1734686987.452231,1263885.000,7404,3,MZ,1,100, 3
1734686987.492231,1263925.000,7421,2,MZ,1,100, 1
1734686987.532230,1263965.000,7421,2,MZ,1,100, 4
1734686987.572229,1264005.000,7437,3,MZ,1,100, 2
1734686987.612228,1264045.000,7437,3,MZ,1,100, 2
1734686987.652227,1264085.000,7437,3,MZ,1,100, 3
1734686987.692227,1264125.000,7455,2,MZ,1,100, 2
1734686987.732226,1264165.000,7455,2,MZ,1,100, 2
1734686987.772225,1264205.000,7470,3,MZ,1,100, 1
1734686987.812224,1264245.000,7470,3,MZ,1,100, 2
1734686987.852223,1264285.000,7470,3,MZ,1,100, 1
1734686987.892223,1264325.000,7486,2,MZ,1,100, 1
1734686987.932222,1264365.000,7486,2,MZ,1,100, 2
1734686987.972221,1264405.000,7503,3,MZ,1,100, 2
